Command	Type
polcyclo	entity.name.function	polcyclo(n,{a = 'x}): n-th cyclotomic polynomial evaluated at a.
polcyclofactors	entity.name.function	polcyclofactors(f): returns a vector of polynomials, whose product is the product of distinct cyclotomic polynomials dividing f.
poldegree	entity.name.function	poldegree(x,{v}): degree of the polynomial or rational function x with respect to main variable if v is omitted, with respect to v otherwise. For scalar x, return 0 if x is nonzero and -oo otherwise.
poldisc	entity.name.function	poldisc(pol,{v}): discriminant of the polynomial pol, with respect to main variable if v is omitted, with respect to v otherwise.
poldiscfactors	entity.name.function	poldiscfactors(T,{flag=0}): [D, faD], where D = discriminant of the polynomial T, and faD is a cheap partial factorization of D (entries are coprime but need not be primes); if flag is 1, finish the factorization via factorint.
poldiscreduced	entity.name.function	poldiscreduced(f): vector of elementary divisors of Z[a]/f'(a)Z[a], where a is a root of the polynomial f.
polgalois	entity.name.function	polgalois(T): Galois group of the polynomial T (see manual for group coding). Return [n, s, k, name] where n is the group order, s the signature, k the index and name is the GAP4 name of the transitive group.
polgraeffe	entity.name.function	polgraeffe(f): returns the Graeffe transform g of f, such that g(x^2) = f(x)f(-x).
polhensellift	entity.name.function	polhensellift(A, B, p, e): lift the factorization B of A modulo p to a factorization modulo p^e using Hensel lift. The factors in B must be pairwise relatively prime modulo p.
polhermite	entity.name.function	polhermite(n,{a='x},{flag=0}): Hermite polynomial H(n,v) of degree n, evaluated at a. If flag is nonzero, return [H_{n-1}(a), H_n(a)].
polinterpolate	entity.name.function	polinterpolate(X,{Y},{t = 'x},{&e}): polynomial interpolation at t according to data vectors X, Y, i.e., given P of minimal degree such that P(X[i]) = Y[i] for all i, return P(t). If Y is omitted, take P such that P(i) = X[i]. If present and t is numeric, e will contain an error estimate on the returned value (Neville's algorithm).
poliscyclo	entity.name.function	poliscyclo(f): returns 0 if f is not a cyclotomic polynomial, and n > 0 if f = Phi_n, the n-th cyclotomic polynomial.
poliscycloprod	entity.name.function	poliscycloprod(f): returns 1 if f is a product of cyclotomic polynonials, and 0 otherwise.
polisirreducible	entity.name.function	polisirreducible(pol): true(1) if pol is an irreducible nonconstant polynomial, false(0) if pol is reducible or constant.
pollaguerre	entity.name.function	pollaguerre(n,{a=0},{b='x},{flag=0}): Laguerre polynomial of degree n and parameter a evaluated at b. If flag is 1, return [L^{(a)_{n-1}(b), L^{(a)}_n(b)].
pollead	entity.name.function	pollead(x,{v}): leading coefficient of polynomial or series x, or x itself if x is a scalar. Error otherwise. With respect to the main variable of x if v is omitted, with respect to the variable v otherwise.
pollegendre	entity.name.function	pollegendre(n,{a='x},{flag=0}): legendre polynomial of degree n evaluated at a. If flag is 1, return [P_{n-1}(a), P_n(a)].
polmodular	entity.name.function	polmodular(L, {inv = 0}, {x = 'x}, {y = 'y}, {derivs = 0}): return the modular polynomial of level L and invariant inv.
polrecip	entity.name.function	polrecip(pol): reciprocal polynomial of pol.
polred	entity.name.function	polred(T,{flag=0}): deprecated, use polredbest. Reduction of the polynomial T (gives minimal polynomials only). The following binary digits of (optional) flag are significant 1: partial reduction, 2: gives also elements.
polredabs	entity.name.function	polredabs(T,{flag=0}): a smallest generating polynomial of the number field for the T2 norm on the roots, with smallest index for the minimal T2 norm. flag is optional, whose binary digit mean 1: give the element whose characteristic polynomial is the given polynomial. 4: give all polynomials of minimal T2 norm (give only one of P(x) and P(-x)).
polredbest	entity.name.function	polredbest(T,{flag=0}): reduction of the polynomial T (gives minimal polynomials only). If flag=1, gives also elements.
polredord	entity.name.function	polredord(x): this function is obsolete, use polredbest.
polresultant	entity.name.function	polresultant(x,y,{v},{flag=0}): resultant of the polynomials x and y, with respect to the main variables of x and y if v is omitted, with respect to the variable v otherwise. flag is optional, and can be 0: default, uses either the subresultant algorithm, a modular algorithm or Sylvester's matrix, depending on the inputs; 1 uses Sylvester's matrix (should always be slower than the default).
polresultantext	entity.name.function	polresultantext(A,B,{v}): return [U,V,R] such that R=polresultant(A,B,v) and U*A+V*B = R, where A and B are polynomials.
polroots	entity.name.function	polroots(T): complex roots of the polynomial T using Schonhage's method, as modified by Gourdon.
polrootsbound	entity.name.function	polrootsbound(T, {tau = 0.01}): return a sharp upper bound for the modulus of the largest complex root of the polynomial T with relative error tau.
polrootsff	entity.name.function	polrootsff(x,{p},{a}): obsolete, use polrootsmod.
polrootsmod	entity.name.function	polrootsmod(f,{D}): roots of the polynomial f over the finite field defined by the domain D.
polrootspadic	entity.name.function	polrootspadic(f,p,r): p-adic roots of the polynomial f to precision r.
polrootsreal	entity.name.function	polrootsreal(T, {ab}): real roots of the polynomial T with real coefficients, using Uspensky's method. In interval ab = [a,b] if present.
polsturm	entity.name.function	polsturm(T,{ab}): number of distinct real roots of the polynomial T (in the interval ab = [a,b] if present).
polsubcyclo	entity.name.function	polsubcyclo(n,d,{v='x}): finds an equation (in variable v) for the d-th degree subfields of Q(zeta_n). Output is a polynomial, or a vector of polynomials if there are several such fields or none.
polsubcyclofast	entity.name.function	polsubcyclofast(n,d,{s=0},{exact=0}): If 1 <= d <= 6 or a prime, finds an equation for the subfields of Q(zeta_n) with galois group C_d. Contrary to polsubcyclo, the output is always a (possibly empty) vector of polynomials. If s = 0 (default) all signatures, otherwise s = 1 (resp., -1) for totally real (resp., totally complex). Set exact = 1 for subfields of exact conductor n.
polsylvestermatrix	entity.name.function	polsylvestermatrix(x,y): forms the sylvester matrix attached to the two polynomials x and y. Warning: the polynomial coefficients are in columns, not in rows.
polsym	entity.name.function	polsym(x,n): column vector of symmetric powers of the roots of x up to n.
poltchebi	entity.name.function	poltchebi(n,{v='x}): deprecated alias for polchebyshev.
polteichmuller	entity.name.function	polteichmuller(T,p,r): return the polynomial whose roots (resp. leading coef) are the Teichmuller lift of the roots (resp. leading coef) of T, to p-adic precision r.
poltomonic	entity.name.function	poltomonic(T,{&L}): T in Q[x]; return U monic in Z[x] such that U(x) = C T(x/L) for some rational C and L. If &L is given, set it to L.
poltschirnhaus	entity.name.function	poltschirnhaus(x): random Tschirnhausen transformation of the polynomial x.
polylog	entity.name.function	polylog(m,x,{flag=0}): m-th polylogarithm of x. flag is optional, and can be 0: default, 1: D_m~-modified m-th polylog of x, 2: D_m-modified m-th polylog of x, 3: P_m-modified m-th polylog of x.
polylogmult	entity.name.function	polylogmult(s,{z},{t=0}): multiple polylogarithm value at integral s = [s1,...,sr] with argument z = [z1,...,zr]. If z is omitted, assume z = [1,...,1], i.e., multiple zeta value. More generally, return Yamamoto's interpolation at t (ordinary multiple polylog at t = 0 and star value at t = 1).
polzagier	entity.name.function	polzagier(n,m): Zagier's polynomials of index n,m.
powers	entity.name.function	powers(x,n,{x0}): return the vector [1,x,...,x^n] if x0 is omitted, and [x0, x0*x, ..., x0*x^n] otherwise.
precision	entity.name.function	precision(x,{n}): if n is present, return x at precision n. If n is omitted, return real precision of object x.
precprime	entity.name.function	precprime(x): largest pseudoprime <= x, 0 if x<=1.
prime	entity.name.function	prime(n): returns the n-th prime (n C-integer).
primecert	entity.name.function	primecert(N, {flag=0}, {partial=0}): If N is a prime, return a Primality Certificate. Return 0 otherwise. If flag = 0 return an ECPP certificate (Atkin-Morain); if flag = 1 return an N-1 certificate (Pocklington-Lehmer)
primecertexport	entity.name.function	primecertexport(cert, {format = 0}): Returns a string suitable for print/write to display a primality certificate.
primecertisvalid	entity.name.function	primecertisvalid(cert): Verifies if cert is a valid PARI ECPP Primality certificate.
primepi	entity.name.function	primepi(x): the prime counting function pi(x) = #{p <= x, p prime}.
primes	entity.name.function	primes(n): returns the vector of the first n primes (integer), or the primes in interval n = [a,b].
print	entity.name.function	print({str}*): outputs its string arguments (in raw format) ending with a newline.
print1	entity.name.function	print1({str}*): outputs its string arguments (in raw format) without ending with newline.
printf	entity.name.function	printf(fmt,{x}*): prints its arguments according to the format fmt.
printp	entity.name.function	printp({str}*): outputs its string arguments (in prettymatrix format) ending with a newline.
printsep	entity.name.function	printsep(sep,{str}*): outputs its string arguments (in raw format), separated by 'sep', ending with a newline.
printsep1	entity.name.function	printsep1(sep,{str}*): outputs its string arguments (in raw format), separated by 'sep', without ending with a newline.
printtex	entity.name.function	printtex({str}*): outputs its string arguments in TeX format.
prod	keyword.control	prod(X=a,b,expr,{x=1}): x times the product (X runs from a to b) of expression.
prodeuler	keyword.control	prodeuler(p=a,b,expr): Euler product (p runs over the primes between a and b) of real or complex expression, as a floating point approximation.
prodeulerrat	entity.name.function	prodeulerrat(F,{s=1},{a=2}): product from primes p = a to infinity of F(p^s), where F is a rational function.
prodinf	keyword.control	prodinf(X=a,expr,{flag=0}): infinite product (X goes from a to infinity) of real or complex expression. flag can be 0 (default) or 1, in which case compute the product of the 1+expr instead.
prodnumrat	entity.name.function	prodnumrat(F,a): product from n = a to infinity of F(n), where F-1 is a rational function of degree less than or equal to -2.
psdraw	entity.name.function	psdraw(list, {flag=0}): obsolete function.
psi	entity.name.function	psi(x): psi-function at x.
psploth	keyword.control	psploth(X=a,b,expr,{flags=0},{n=0}): obsolete function.
psplothraw	entity.name.function	psplothraw(listx,listy,{flag=0}): obsolete function.
qfauto	entity.name.function	qfauto(G,{fl}): automorphism group of the positive definite quadratic form G.
qfautoexport	entity.name.function	qfautoexport(qfa,{flag}): qfa being an automorphism group as output by qfauto, output a string representing the underlying matrix group in GAP notation (default) or Magma notation (flag = 1).
qfbclassno	entity.name.function	qfbclassno(D,{flag=0}): class number of discriminant D using Shanks's method by default. If (optional) flag is set to 1, use Euler products.
qfbcomp	entity.name.function	qfbcomp(x,y): Gaussian composition with reduction of the binary quadratic forms x and y.
qfbcompraw	entity.name.function	qfbcompraw(x,y): Gaussian composition without reduction of the binary quadratic forms x and y.
qfbcornacchia	entity.name.function	qfbcornacchia(d,n): Solve the equation x^2+dy^2 = n in integers x and y where d > 0 and n is prime or 4 times a prime.
qfbhclassno	entity.name.function	qfbhclassno(x): Hurwitz-Kronecker class number of x>0.
qfbil	entity.name.function	qfbil(x,y,{q}): this function is obsolete, use qfeval.
qfbnucomp	entity.name.function	qfbnucomp(x,y,L): composite of primitive positive definite quadratic forms x and y using nucomp and nudupl, where L=[|D/4|^(1/4)] is precomputed.
qfbnupow	entity.name.function	qfbnupow(x,n,{L}): n-th power of primitive positive definite quadratic form x using nucomp and nudupl.
qfbpow	entity.name.function	qfbpow(x,n): n-th power with reduction of the binary quadratic form x.
qfbpowraw	entity.name.function	qfbpowraw(x,n): n-th power without reduction of the binary quadratic form x.
qfbprimeform	entity.name.function	qfbprimeform(x,p): returns the prime form of discriminant x, whose first coefficient is p.
qfbred	entity.name.function	qfbred(x,{flag=0},{isd},{sd}): reduction of the binary quadratic form x. All other args. are optional. The argument isd and sd, if present, supply the values of floor(sqrt(d)) and sqrt(d) respectively, where d is the discriminant. If d<0, its value is not used. flag can be any of 0: default; 1: do a single reduction step;
qfbredsl2	entity.name.function	qfbredsl2(x,{isD}): reduction of the binary quadratic form x, return [y,g] where y is reduced and g in Sl(2,Z) is such that g.x = y; isD, if present, must be equal to sqrtint(D), where D > 0 is the discriminant of x.
qfbsolve	entity.name.function	qfbsolve(Q,n,{flag=0}): Solve the equation Q(x,y)=n in coprime integers x and y where Q is a binary quadratic form, up to the action of the special orthogonal group of Q over the integers. Binary digits of flag mean 1: return all solutions, 2: also include imprimitive solutions.
qfeval	entity.name.function	qfeval({q},x,{y}): evaluate the quadratic form q (symmetric matrix) at x; if y is present, evaluate the polar form at (x,y); if q omitted, use the standard Euclidean form.
qfgaussred	entity.name.function	qfgaussred(q): square reduction of the (symmetric) matrix q (returns a square matrix whose i-th diagonal term is the coefficient of the i-th square in which the coefficient of the i-th variable is 1).
qfisom	entity.name.function	qfisom(G,H,{fl},{grp}): find an isomorphism between the integral positive definite quadratic forms G and H if it exists. G can also be given by a qfisominit structure which is preferable if several forms need to be compared to G.
qfisominit	entity.name.function	qfisominit(G,{fl},{m}): G being a square and symmetric matrix representing an integral positive definite quadratic form, this function returns a structure allowing to compute isomorphisms between G and other quadratic form faster.
qfjacobi	entity.name.function	qfjacobi(A): eigenvalues and orthogonal matrix of eigenvectors of the real symmetric matrix A.
qflll	entity.name.function	qflll(x,{flag=0}): LLL reduction of the vectors forming the matrix x (gives the unimodular transformation matrix T such that x*T is LLL-reduced). flag is optional, and can be 0: default, 1: assumes x is integral, 2: assumes x is integral, returns a partially reduced basis, 4: assumes x is integral, returns [K,T] where K is the integer kernel of x and T the LLL reduced image, 5: same as 4 but x may have polynomial coefficients, 8: same as 0 but x may have polynomial coefficients.
qflllgram	entity.name.function	qflllgram(G,{flag=0}): LLL reduction of the lattice whose gram matrix is G (gives the unimodular transformation matrix). flag is optional and can be 0: default,1: assumes x is integral, 4: assumes x is integral, returns [K,T], where K is the integer kernel of x and T the LLL reduced image, 5: same as 4 but x may have polynomial coefficients, 8: same as 0 but x may have polynomial coefficients.
qfminim	entity.name.function	qfminim(x,{B},{m},{flag=0}): x being a square and symmetric matrix representing a positive definite quadratic form, this function deals with the vectors of x whose norm is less than or equal to B, enumerated using the Fincke-Pohst algorithm, storing at most m vectors (no limit if m is omitted). The function searches for the minimal nonzero vectors if B is omitted. The precise behavior depends on flag. 0: returns at most 2m vectors (unless m omitted), returns [N,M,V] where N is the number of vectors enumerated, M the maximum norm among these, and V lists half the vectors (the other half is given by -V). 1: ignores m and returns the first vector whose norm is less than B. 2: as 0 but uses a more robust, slower implementation
qfminimize	entity.name.function	qfminimize(G): given a square symmetric matrix G with rational coefficients and non-zero determinant, of dimension n >= 1, return [H,U] such that H = c * U~*G*U for some rational c, and H integral with minimal determinant.
qfnorm	entity.name.function	qfnorm(x,{q}): this function is obsolete, use qfeval.
qforbits	entity.name.function	qforbits(G,V): return the orbits of V under the action of the group of linear transformation generated by the set G, which must stabilize V.
qfparam	entity.name.function	qfparam(G, sol, {flag = 0}): coefficients of binary quadratic forms that parametrize the solutions of the ternary quadratic form G, using the particular solution sol.
qfperfection	entity.name.function	qfperfection(G): rank of matrix of xx~ for x minimal vectors of a Gram matrix G.
qfrep	entity.name.function	qfrep(q,B,{flag=0}): vector of (half) the number of vectors of norms from 1 to B for the integral and definite quadratic form q. If flag is 1, count vectors of even norm from 1 to 2B.
qfsign	entity.name.function	qfsign(x): signature of the symmetric matrix x.
qfsolve	entity.name.function	qfsolve(G): solve over Q the quadratic equation X^t G X = 0, where G is a symmetric matrix.
quadclassunit	entity.name.function	quadclassunit(D,{flag=0},{tech=[]}): compute the structure of the class group and the regulator of the quadratic field of discriminant D. See manual for the optional technical parameters.
quaddisc	entity.name.function	quaddisc(x): discriminant of the quadratic field Q(sqrt(x)).
quadgen	entity.name.function	quadgen(D,{v = 'w}): standard generator g of quadratic order of discriminant D. If v is given, the variable name is used to display g, else 'w' is used.
quadhilbert	entity.name.function	quadhilbert(D): relative equation for the Hilbert class field of the quadratic field of discriminant D (which can also be a bnf).
quadpoly	entity.name.function	quadpoly(D,{v='x}): quadratic polynomial corresponding to the discriminant D, in variable v.
quadray	entity.name.function	quadray(D,f): relative equation for the ray class field of conductor f for the quadratic field of discriminant D (which can also be a bnf).
quadregulator	entity.name.function	quadregulator(D): regulator of the real quadratic field of discriminant D.
quadunit	entity.name.function	quadunit(D,{v = 'w}): fundamental unit u of the quadratic order of discriminant D where D must be positive. If v is given, the variable name is used to display u, else 'w' is used.
quadunitindex	entity.name.function	quadunitindex(D, f): given a fundamental discriminant D, return the index of the unit group of the order of conductor f.
quadunitnorm	entity.name.function	quadunitnorm(D): return the norm of the fundamental unit of the quadratic order of discriminant D.
quit	keyword.control	quit({status = 0}): quit, return to the system with exit status 'status'.
ramanujantau	entity.name.function	ramanujantau(n,{ell=12}): compute the value of Ramanujan's tau function at n, assuming the GRH. If ell is 16, 18, 20, 22, or 26, same for the newform of level 1 and corresponding weight. Otherwise, compute the coefficient of the trace form at n. Algorithm in O(n^{1/2+eps}).
random	entity.name.function	random({N=2^31}): random object, depending on the type of N. Integer between 0 and N-1 (t_INT), int mod N (t_INTMOD), element in a finite field (t_FFELT), point on an elliptic curve (ellinit mod p or over a finite field).
randomprime	entity.name.function	randomprime({N = 2^31}, {q}): returns a strong pseudo prime in [2, N-1]. If q is an integer, return a prime = 1 mod q; if q is an intmod, return a prime in the given congruence class.
read	entity.name.function	read({filename}): read from the input file filename. If filename is omitted, reread last input file, be it from read() or \r.
readstr	entity.name.function	readstr({filename}): returns the vector of GP strings containing the lines in filename.
readvec	entity.name.function	readvec({filename}): create a vector whose components are the evaluation of all the expressions found in the input file filename.
real	entity.name.function	real(x): real part of x.
removeprimes	entity.name.function	removeprimes({x=[]}): remove primes in the vector x from the prime table. x can also be a single integer. List the current extra primes if x is omitted.
return	keyword.control	return({x=0}): return from current subroutine with result x.
rnfalgtobasis	entity.name.function	rnfalgtobasis(rnf,x): relative version of nfalgtobasis, where rnf is a relative numberfield.
rnfbasis	entity.name.function	rnfbasis(bnf,M): given a projective Z_K-module M as output by rnfpseudobasis or rnfsteinitz, gives either a basis of M if it is free, or an n+1-element generating set.
rnfbasistoalg	entity.name.function	rnfbasistoalg(rnf,x): relative version of nfbasistoalg, where rnf is a relative numberfield.
rnfcharpoly	entity.name.function	rnfcharpoly(nf,T,a,{var='x}): characteristic polynomial of a over nf, where a belongs to the algebra defined by T over nf. Returns a polynomial in variable var (x by default).
rnfconductor	entity.name.function	rnfconductor(bnf,T,{flag=0}): conductor of the Abelian extension of bnf defined by T. The result is [conductor,bnr,subgroup], where conductor is the conductor itself, bnr the attached bnr structure, and subgroup the HNF defining the norm group (Artin or Takagi group) on the given generators bnr.gen. If flag is 1, return a bnr modulo deg(T), attached to Cl_f / (deg(T)); if flag is 2 only return [f, idealfactor(f[1])].
rnfdedekind	entity.name.function	rnfdedekind(nf,pol,{pr},{flag=0}): relative Dedekind criterion over the number field K, represented by nf, applied to the order O_K[X]/(P), modulo the prime ideal pr (at all primes if pr omitted, in which case flag is automatically set to 1). P is assumed to be monic, irreducible, in O_K[X]. Returns [max,basis,v], where basis is a pseudo-basis of the enlarged order, max is 1 iff this order is pr-maximal, and v is the valuation at pr of the order discriminant. If flag is set, just return 1 if the order is maximal, and 0 if not.
rnfdet	entity.name.function	rnfdet(nf,M): given a pseudo-matrix M, compute its determinant.
rnfdisc	entity.name.function	rnfdisc(nf,T): given a polynomial T with coefficients in nf, gives a 2-component vector [D,d], where D is the relative ideal discriminant, and d is the relative discriminant in nf^*/nf*^2.
rnfeltabstorel	entity.name.function	rnfeltabstorel(rnf,x): transforms the element x from absolute to relative representation.
rnfeltdown	entity.name.function	rnfeltdown(rnf,x,{flag=0}): expresses x on the base field if possible; returns an error otherwise.
rnfeltnorm	entity.name.function	rnfeltnorm(rnf,x): returns the relative norm N_{L/K}(x), as an element of K.
rnfeltreltoabs	entity.name.function	rnfeltreltoabs(rnf,x): transforms the element x from relative to absolute representation.
rnfelttrace	entity.name.function	rnfelttrace(rnf,x): returns the relative trace Tr_{L/K}(x), as an element of K.
rnfeltup	entity.name.function	rnfeltup(rnf,x,{flag=0}): expresses x (belonging to the base field) on the relative field. As a t_POLMOD if flag = 0 and as a t_COL on the absolute field integer basis if flag = 1.
rnfequation	entity.name.function	rnfequation(nf,pol,{flag=0}): given a pol with coefficients in nf, gives an absolute equation z of the number field defined by pol. flag is optional, and can be 0: default, or nonzero, gives [z,al,k], where z defines the absolute equation L/Q as in the default behavior, al expresses as an element of L a root of the polynomial defining the base field nf, and k is a small integer such that t = b + k al is a root of z, for b a root of pol.
rnfhnfbasis	entity.name.function	rnfhnfbasis(bnf,M): given a bnf attached to a number field K and a projective Z_K module M given by a pseudo-matrix, returns either a true HNF basis of M if one exists, or zero otherwise. If M is a polynomial with coefficients in K, replace it by the pseudo-matrix returned by rnfpseudobasis.
rnfidealabstorel	entity.name.function	rnfidealabstorel(rnf,x): transforms the ideal x from absolute to relative representation.
rnfidealdown	entity.name.function	rnfidealdown(rnf,x): finds the intersection of the ideal x with the base field.
rnfidealfactor	entity.name.function	rnfidealfactor(rnf,x): factor the ideal x into prime ideals in the number field nfinit(rnf).
rnfidealhnf	entity.name.function	rnfidealhnf(rnf,x): relative version of idealhnf, where rnf is a relative numberfield.
rnfidealmul	entity.name.function	rnfidealmul(rnf,x,y): relative version of idealmul, where rnf is a relative numberfield.
rnfidealnormabs	entity.name.function	rnfidealnormabs(rnf,x): absolute norm of the ideal x.
rnfidealnormrel	entity.name.function	rnfidealnormrel(rnf,x): relative norm of the ideal x.
rnfidealprimedec	entity.name.function	rnfidealprimedec(rnf,pr): return prime ideal decomposition of the maximal ideal pr of K in L/K; pr is also allowed to be a prime number p, in which case return a pair of vectors [SK,SL], where SK contains the primes of K above p and SL[i] is the vector of primes of L above SK[i].
rnfidealreltoabs	entity.name.function	rnfidealreltoabs(rnf,x,{flag=0}): transforms the ideal x from relative to absolute representation. As a vector of t_POLMODs if flag = 0 and as an ideal in HNF in the absolute field if flag = 1.
rnfidealtwoelt	entity.name.function	rnfidealtwoelt(rnf,x): relative version of idealtwoelt, where rnf is a relative numberfield.
rnfidealup	entity.name.function	rnfidealup(rnf,x,{flag=0}): lifts the ideal x (of the base field) to the relative field. As a vector of t_POLMODs if flag = 0 and as an ideal in HNF in the absolute field if flag = 1.
rnfinit	entity.name.function	rnfinit(nf,T,{flag=0}): T being an irreducible polynomial defined over the number field nf, initializes a vector of data necessary for working in relative number fields (rnf functions). See manual for technical details.
rnfisabelian	entity.name.function	rnfisabelian(nf,T): T being a relative polynomial with coefficients in nf, return 1 if it defines an abelian extension, and 0 otherwise.
rnfisfree	entity.name.function	rnfisfree(bnf,M): given a bnf attached to a number field K and a projective Z_K module M given by a pseudo-matrix, return true (1) if M is free else return false (0).
rnfislocalcyclo	entity.name.function	rnfislocalcyclo(rnf): true(1) if the l-extension attached to rnf is locally cyclotomic (locally contained in the Z_l extension of K_v at all places v | l), false(0) if not.
rnfisnorm	entity.name.function	rnfisnorm(T,a,{flag=0}): T is as output by rnfisnorminit applied to L/K. Tries to tell whether a is a norm from L/K. Returns a vector [x,q] where a=Norm(x)*q. Looks for a solution which is a S-integer, with S a list of places in K containing the ramified primes, generators of the class group of ext, as well as those primes dividing a. If L/K is Galois, you may omit flag, otherwise it is used to add more places to S: all the places above the primes p <= flag (resp. p | flag) if flag > 0 (resp. flag < 0). The answer is guaranteed (i.e a is a norm iff q=1) if L/K is Galois or, under GRH, if S contains all primes less than 12.log(disc(M))^2, where M is the normal closure of L/K.
rnfisnorminit	entity.name.function	rnfisnorminit(pol,polrel,{flag=2}): let K be defined by a root of pol, L/K the extension defined by polrel. Compute technical data needed by rnfisnorm to solve norm equations Nx = a, for x in L, and a in K. If flag=0, do not care whether L/K is Galois or not; if flag = 1, assume L/K is Galois; if flag = 2, determine whether L/K is Galois.
rnfkummer	entity.name.function	rnfkummer(bnr,{subgp}): this function is deprecated. Use bnrclassfield.
rnflllgram	entity.name.function	rnflllgram(nf,pol,order): given a pol with coefficients in nf and an order as output by rnfpseudobasis or similar, gives [[neworder],U], where neworder is a reduced order and U is the unimodular transformation matrix.
rnfnormgroup	entity.name.function	rnfnormgroup(bnr,pol): norm group (or Artin or Takagi group) corresponding to the Abelian extension of bnr.bnf defined by pol, where the module corresponding to bnr is assumed to be a multiple of the conductor. The result is the HNF defining the norm group on the generators in bnr.gen.
rnfpolred	entity.name.function	rnfpolred(nf,pol): given a pol with coefficients in nf, finds a list of relative polynomials defining some subfields, hopefully simpler.
rnfpolredabs	entity.name.function	rnfpolredabs(nf,pol,{flag=0}): given an irreducible pol with coefficients in nf, finds a canonical relative polynomial defining the same field. Binary digits of flag mean: 1: return also the element whose characteristic polynomial is the given polynomial, 2: return an absolute polynomial, 16: partial reduction.
rnfpolredbest	entity.name.function	rnfpolredbest(nf,pol,{flag=0}): given a pol with coefficients in nf, finds a relative polynomial P defining the same field, hopefully simpler than pol; flag can be 0: default, 1: return [P,a], where a is a root of pol 2: return an absolute polynomial Pabs, 3: return [Pabs, a,b], where a is a root of nf.pol and b is a root of pol.
rnfpseudobasis	entity.name.function	rnfpseudobasis(nf,T): given an irreducible polynomial T with coefficients in nf, returns [A,J,D,d] where [A,J] is a pseudo basis of the maximal order of the extension, D is the relative ideal discriminant, and d is the relative discriminant in nf^*/nf*^2.
rnfsteinitz	entity.name.function	rnfsteinitz(nf,M): given a nf attached to a number field K and a projective module M given by a pseudo-matrix, returns [A,I,D,d] where (A,I) is a pseudo basis for M where all the ideals except perhaps the last are trivial. If M is a polynomial with coefficients in K, replace it by the pseudo-matrix returned by rnfpseudobasis.
rootsof1	entity.name.function	rootsof1(N): column vector of complex N-th roots of 1.
round	entity.name.function	round(x,{&e}): take the nearest integer to all the coefficients of x. If e is present, do not take into account loss of integer part precision, and set e = error estimate in bits.
select	entity.name.function	select(f, A, {flag = 0}): selects elements of A according to the selection function f. If flag is 1, return the indices of those elements (indirect selection).
self	entity.name.function	self(): return the calling function or closure. Useful for defining anonymous recursive functions.
seralgdep	entity.name.function	seralgdep(s,p,r): find a linear relation between powers (1,s, ..., s^p) of the series s, with polynomial coefficients of degree <= r.
serchop	entity.name.function	serchop(s,{n=0}): remove all terms of degree strictly less than n in series s.
serconvol	entity.name.function	serconvol(x,y): convolution (or Hadamard product) of two power series.
serdiffdep	entity.name.function	serdiffdep(s,p,r): find an inhomogenous linear differential equation satisfied by the series s, with polynomial coefficients of degree <= r. The result is a pair [E,P] such that E(d)(S)=P where E(d) is interpreted as a differential polynomial.
serlaplace	entity.name.function	serlaplace(x): replaces the power series sum of a_n*x^n/n! by sum of a_n*x^n. For the reverse operation, use serconvol(x,exp(X)).
serprec	entity.name.function	serprec(x,v): return the absolute precision x with respect to power series in the variable v.
serreverse	entity.name.function	serreverse(s): reversion of the power series s.
setbinop	entity.name.function	setbinop(f,X,{Y}): the set {f(x,y), x in X, y in Y}. If Y is omitted, assume that X = Y and that f is symmetric.
setdebug	entity.name.function	setdebug({D},{n}): set debug level for domain D to n (n must be between 0 and 20). If n is omitted, return the current level for domain D. if D is omitted, return a two-column matrix which lists the available domains with their levels.
setdelta	entity.name.function	setdelta(x,y): symmetric difference of the sets x and y.
setintersect	entity.name.function	setintersect(x,y): intersection of the sets x and y.
setisset	entity.name.function	setisset(x): true(1) if x is a set (row vector with strictly increasing entries), false(0) if not.
setminus	entity.name.function	setminus(x,y): set of elements of x not belonging to y.
setrand	entity.name.function	setrand(n): reset the seed of the random number generator to n.
setsearch	entity.name.function	setsearch(S,x,{flag=0}): determines whether x belongs to the set (or sorted list) S. If flag is 0 or omitted, returns 0 if it does not, otherwise returns the index j such that x==S[j]. If flag is nonzero, return 0 if x belongs to S, otherwise the index j where it should be inserted.
setunion	entity.name.function	setunion(x,y): union of the sets x and y.
shift	entity.name.function	shift(x,n): shift x left n bits if n>=0, right -n bits if n<0.
shiftmul	entity.name.function	shiftmul(x,n): multiply x by 2^n (n>=0 or n<0).
sigma	entity.name.function	sigma(x,{k=1}): sum of the k-th powers of the divisors of x. k is optional and if omitted is assumed to be equal to 1.
sign	entity.name.function	sign(x): sign of x, of type integer, real or fraction.
simplify	entity.name.function	simplify(x): simplify the object x as much as possible.
sin	entity.name.function	sin(x): sine of x.
sinc	entity.name.function	sinc(x): sinc function of x.
sinh	entity.name.function	sinh(x): hyperbolic sine of x.
sizebyte	entity.name.function	sizebyte(x): number of bytes occupied by the complete tree of the object x.
sizedigit	entity.name.function	sizedigit(x): rough upper bound for the number of decimal digits of (the components of) x. DEPRECATED.
snfrank	entity.name.function	snfrank(D,q): assuming that D is a Smith normal form (i.e. vector of elementary divisors) for some module and q a power of an irreducible element or 0, return the rank of D/qD.
solve	keyword.control	solve(X=a,b,expr): real root of expression expr (X between a and b), where either a or b is infinite or expr(a)*expr(b)<=0.
